timestamp,lag,windows,mean_pearson,max_pearson,min_pearson
2026-07-15T23:38:30.686248+00:00,-30,198,-0.208184,0.717275,-0.752246
2026-07-15T23:38:30.689552+00:00,-29,28,0.142656,0.56331,-0.64168
2026-07-15T23:38:30.690688+00:00,-28,26,-0.506011,0.583787,-0.810242
2026-07-15T23:38:30.691834+00:00,-27,24,-0.00864,0.674959,-0.688186
2026-07-15T23:38:30.692931+00:00,-26,25,-0.476676,0.342897,-0.690531
2026-07-15T23:38:30.693990+00:00,-25,18,0.26278,0.653473,-0.645341
2026-07-15T23:38:30.695035+00:00,-24,31,-0.142443,0.636773,-0.632051
2026-07-15T23:38:30.696121+00:00,-23,15,-0.102424,0.484756,-0.628345
2026-07-15T23:38:30.697170+00:00,-22,5,0.471832,0.487902,0.446982
2026-07-15T23:38:30.698210+00:00,-21,31,-0.004057,0.618201,-0.635154
2026-07-15T23:38:30.699241+00:00,-20,4,-0.286489,-0.233815,-0.413585
2026-07-15T23:38:30.700312+00:00,-19,9,0.036661,0.582326,-0.495007
2026-07-15T23:38:30.701392+00:00,-18,54,-0.213249,0.598094,-0.5548
2026-07-15T23:38:30.702459+00:00,-17,35,0.179487,0.728515,-0.51851
2026-07-15T23:38:30.703522+00:00,-16,14,0.37999,0.755749,-0.502731
2026-07-15T23:38:30.704635+00:00,-15,8,0.494169,0.755026,-0.494842
2026-07-15T23:38:30.705685+00:00,-14,24,-0.300653,0.773352,-0.724053
2026-07-15T23:38:30.706738+00:00,-13,18,0.0474,0.778181,-0.727795
2026-07-15T23:38:30.707833+00:00,-12,18,0.015394,0.785948,-0.56599
2026-07-15T23:38:30.708902+00:00,-11,30,0.142735,0.798486,-0.601977
2026-07-15T23:38:30.709936+00:00,-10,17,0.573556,0.779119,0.347891
2026-07-15T23:38:30.710957+00:00,-9,4,-0.366613,-0.359547,-0.373886
2026-07-15T23:38:30.712032+00:00,-8,6,0.457558,0.630314,0.366085
2026-07-15T23:38:30.713080+00:00,-7,10,0.41579,0.613794,-0.31639
2026-07-15T23:38:30.714123+00:00,-6,10,0.358737,0.666526,-0.305876
2026-07-15T23:38:30.715173+00:00,-5,14,0.506296,0.539294,0.422778
2026-07-15T23:38:30.716748+00:00,-4,12,-0.116413,0.569602,-0.450063
2026-07-15T23:38:30.717943+00:00,-3,19,0.564388,0.642382,0.361438
2026-07-15T23:38:30.719064+00:00,-2,7,0.563394,0.613647,0.502515
2026-07-15T23:38:30.720161+00:00,-1,8,0.522764,0.612824,0.384605
2026-07-15T23:38:30.721251+00:00,0,27,0.497976,0.617715,0.38348
2026-07-15T23:38:30.722337+00:00,1,65,0.466057,0.713661,-0.518949
2026-07-15T23:38:30.723376+00:00,2,81,0.317457,0.69256,-0.544305
2026-07-15T23:38:30.724445+00:00,3,25,0.125249,0.613435,-0.390829
2026-07-15T23:38:30.725494+00:00,4,51,0.500529,0.583899,0.275448
2026-07-15T23:38:30.726501+00:00,5,9,0.394118,0.49019,0.276224
2026-07-15T23:38:30.727506+00:00,6,31,0.023391,0.561136,-0.566631
2026-07-15T23:38:30.728598+00:00,7,8,0.049814,0.414409,-0.559599
2026-07-15T23:38:30.729617+00:00,8,34,-0.402809,0.554955,-0.703791
2026-07-15T23:38:30.730646+00:00,9,74,-0.406364,0.55733,-0.791772
2026-07-15T23:38:30.731657+00:00,10,24,0.093489,0.548134,-0.485405
2026-07-15T23:38:30.732723+00:00,11,28,0.545114,0.617212,0.399432
2026-07-15T23:38:30.733765+00:00,12,57,0.534126,0.666936,-0.509659
2026-07-15T23:38:30.734781+00:00,13,39,0.287713,0.651169,-0.586472
2026-07-15T23:38:30.735811+00:00,14,25,0.285521,0.582716,-0.594905
2026-07-15T23:38:30.736824+00:00,15,20,0.207733,0.70541,-0.619052
2026-07-15T23:38:30.737811+00:00,16,20,0.268119,0.671996,-0.657184
2026-07-15T23:38:30.738807+00:00,17,35,0.401039,0.809674,-0.71771
2026-07-15T23:38:30.739853+00:00,18,84,-0.067601,0.850758,-0.662216
2026-07-15T23:38:30.740879+00:00,19,68,-0.286813,0.83183,-0.675507
2026-07-15T23:38:30.741900+00:00,20,43,-0.215064,0.831762,-0.696717
2026-07-15T23:38:30.742935+00:00,21,108,-0.036328,0.818983,-0.753904
2026-07-15T23:38:30.743995+00:00,22,81,-0.131894,0.805956,-0.81415
2026-07-15T23:38:30.745022+00:00,23,72,-0.333333,0.813255,-0.759859
2026-07-15T23:38:30.746060+00:00,24,51,-0.233795,0.749846,-0.723806
2026-07-15T23:38:30.747101+00:00,25,112,-0.06501,0.740692,-0.733339
2026-07-15T23:38:30.748162+00:00,26,52,-0.479576,0.469033,-0.729133
2026-07-15T23:38:30.749181+00:00,27,19,-0.333245,0.301271,-0.713602
2026-07-15T23:38:30.750190+00:00,28,40,-0.452354,0.293063,-0.856373
2026-07-15T23:38:30.751203+00:00,29,74,-0.624588,-0.248828,-0.884941
2026-07-15T23:38:30.752279+00:00,30,105,-0.266333,0.758457,-0.844474
